date,HD,JNJ,INTC,AMD,MU,NVDA,TSM
5/14/19,191.62,66.97,45.17,27.32,38.51,162.04,41.97
5/13/19,190.34,66.49,44.76,26.24,37.38,158.45,40.99
5/10/19,194.58,67.22,46.2,27.96,38.94,168.82,42.83
5/9/19,194.58,66.04,46.62,27.21,39.27,170.19,43.25
5/8/19,195.17,66.02,49.24,27.09,39.75,173.92,43.7
5/7/19,194.77,66.33,50.48,26.66,40.26,173.11,43.76
5/6/19,199.63,66.22,51.22,27.42,42.13,179.85,43.76
5/3/19,200.56,66.89,51.75,28.22,43.33,183.01,44.71
5/2/19,201.01,66.85,50.55,28.29,42.56,183.19,44.4
5/1/19,198.8,67.58,50.76,26.81,41.9,180.47,43.82
4/30/19,203.7,67.93,51.04,27.63,42.06,181.0,43.82
4/29/19,202.16,68.62,51.11,27.69,42.11,179.33,43.83
4/26/19,203.61,68.73,52.43,27.88,42.1,178.09,43.94
4/25/19,206.5,69.76,57.61,27.66,42.75,186.91,44.48
4/24/19,206.72,70.03,58.72,28.46,43.03,191.17,45.41
4/23/19,206.05,69.87,58.78,27.97,42.77,190.67,45.42
4/22/19,204.78,69.93,58.82,28.18,43.4,188.47,45.15
4/18/19,205.66,69.14,58.49,27.68,43.4,186.3,45.4
4/17/19,206.55,69.73,58.56,27.49,43.15,187.29,44.39
4/16/19,204.47,70.24,56.71,27.93,42.76,188.21,43.01
4/15/19,204.86,70.09,56.28,27.33,41.82,184.7,42.61
4/12/19,203.85,70.6,56.42,27.85,42.01,190.01,42.58
4/11/19,201.48,70.04,55.8,27.79,42.28,191.54,42.1
4/10/19,199.43,69.81,55.75,27.83,42.17,192.1,42.37
4/9/19,200.9,69.87,55.32,27.24,41.72,189.26,42.21
4/8/19,203.55,70.52,55.68,28.53,42.9,191.79,42.39
4/5/19,202.06,70.54,55.6,28.98,43.32,190.95,42.23
4/4/19,200.45,69.48,55.92,29.09,42.89,188.26,42.04
4/3/19,198.61,69.32,55.48,29.02,43.9,188.62,41.79
4/2/19,194.31,70.21,54.36,26.75,42.44,183.0,41.27
4/1/19,195.64,70.35,54.51,26.36,42.25,182.28,41.37
3/29/19,191.89,69.84,53.7,25.52,41.33,179.56,40.96
3/28/19,190.06,69.38,53.11,25.06,39.34,177.25,40.34
3/27/19,189.25,68.84,53.16,24.89,39.23,176.5,40.2
3/26/19,189.34,69.29,53.44,25.69,40.32,176.87,40.4
3/25/19,189.68,69.28,52.78,25.97,40.55,173.78,39.92
3/22/19,188.75,69.01,53.26,26.37,41.62,177.5,40.43
3/21/19,189.97,69.85,54.64,27.89,43.99,183.94,41.04
3/20/19,186.1,68.8,53.82,25.7,40.13,174.4,39.85
3/19/19,184.13,68.31,54.17,26.0,40.37,175.71,39.76
3/18/19,183.42,68.37,54.1,23.25,39.61,168.95,39.85
3/15/19,182.23,66.85,54.33,23.29,39.54,169.81,39.65
3/14/19,181.61,67.12,53.44,22.82,38.41,165.56,38.82
3/13/19,181.14,67.31,54.37,23.38,38.83,168.62,39.21
3/12/19,184.0,66.75,53.57,23.49,39.25,162.52,38.9
3/11/19,182.44,66.29,53.35,22.96,39.03,161.14,38.64
3/8/19,181.23,65.58,52.48,22.01,38.65,150.64,38.2
3/7/19,182.51,65.89,52.6,22.08,37.83,149.26,38.63
3/6/19,184.45,65.43,52.95,22.41,37.93,152.05,38.79
3/5/19,184.0,65.95,53.68,23.5,39.99,156.52,39.02
3/4/19,183.81,65.9,53.94,23.37,41.06,156.78,39.15
3/1/19,185.17,65.87,53.3,23.68,41.58,156.45,39.39
2/28/19,185.14,64.26,52.96,23.53,40.88,154.26,39.05
2/27/19,183.67,65.15,53.24,23.48,41.32,155.41,39.45
2/26/19,188.3,64.29,53.23,24.21,42.96,157.1,39.6
2/25/19,189.98,67.65,53.1,24.71,42.75,158.69,39.58
2/22/19,192.39,67.87,52.49,24.36,42.57,159.19,39.39
2/21/19,191.82,67.8,51.41,23.92,41.53,155.77,38.98
2/20/19,191.85,68.12,51.39,23.95,42.21,158.55,39.0
2/19/19,192.33,68.58,51.4,23.95,41.96,156.64,38.46
2/15/19,192.39,67.71,51.66,23.68,41.99,157.34,38.09
2/14/19,187.71,66.68,50.81,23.13,42.23,154.53,38.06
2/13/19,188.41,66.08,50.47,22.85,41.68,152.88,38.13
2/12/19,185.52,65.21,50.01,22.82,40.4,151.17,38.64
2/11/19,182.92,65.05,48.77,22.96,38.58,146.45,38.29
2/8/19,184.54,65.02,48.84,23.05,38.58,148.17,37.79
2/7/19,184.07,65.14,49.23,22.67,39.38,147.42,38.12
2/6/19,184.72,65.77,49.9,23.26,41.52,153.0,38.74
2/5/19,186.39,66.21,50.01,23.31,39.37,149.95,38.25
2/4/19,186.43,65.99,49.22,24.13,39.47,149.18,37.94
2/1/19,184.37,65.16,48.73,24.51,39.6,144.73,37.57
1/31/19,183.53,64.21,47.12,24.41,38.22,143.75,37.62
1/30/19,182.18,64.2,47.54,23.09,38.24,137.39,37.38
1/29/19,179.69,63.6,46.54,19.25,37.39,131.6,36.33
1/28/19,179.83,62.29,46.71,20.18,38.08,138.01,37.44
1/25/19,180.4,62.44,47.04,21.93,38.96,160.15,38.14
1/24/19,177.29,62.65,49.76,20.85,36.59,157.84,37.64
1/23/19,176.89,62.55,47.94,19.8,34.24,149.29,36.49
1/22/19,177.11,62.58,48.27,19.76,33.87,148.77,36.37
1/18/19,179.58,63.19,49.19,20.77,35.76,156.93,36.84
1/17/19,174.87,61.9,48.47,20.25,33.88,151.72,36.29
1/16/19,177.04,61.17,48.13,19.73,33.58,148.84,35.64
1/15/19,176.47,60.96,48.6,20.38,33.99,149.87,36.04
1/14/19,178.81,59.37,48.35,20.23,34.67,150.44,35.76
1/11/19,179.41,59.8,48.93,20.27,36.01,148.83,36.61
1/10/19,179.06,60.04,48.56,19.74,35.91,145.23,36.42
1/9/19,179.73,59.73,48.01,20.19,35.44,142.58,35.61
1/8/19,177.89,58.87,47.74,20.75,33.74,139.83,34.94
1/7/19,177.04,57.64,47.44,20.57,34.0,143.4,35.23
1/4/19,173.62,56.65,47.22,19.0,32.7,136.19,34.97
1/3/19,168.61,54.28,44.49,17.05,31.0,127.99,34.36
1/2/19,172.41,54.41,47.08,18.83,32.75,136.22,36.52
12/31/18,171.82,53.95,46.93,18.46,31.73,133.5,36.91
12/28/18,170.22,52.98,46.75,17.82,31.57,133.65,37.14
12/27/18,170.32,53.32,46.36,17.49,31.93,131.17,36.78
12/26/18,168.28,53.7,46.19,17.9,30.89,133.1,36.76
12/24/18,158.14,50.79,43.59,16.65,29.02,127.08,35.29
12/21/18,160.48,53.9,44.84,16.93,30.32,129.57,35.71
12/20/18,164.16,54.52,45.54,17.94,31.28,135.1,35.88
12/19/18,167.56,55.89,45.57,18.16,31.41,138.51,36.23
12/18/18,170.04,56.47,47.74,19.5,34.11,146.94,36.76
12/17/18,167.97,58.6,47.08,18.83,33.88,143.58,36.22
12/14/18,172.29,60.19,47.86,19.9,34.2,146.45,36.53
